phrase1,phrase2,sentence1,sentence2,label,idx
reasonable level,sufficient degree,"They said that the art started as very basic pencil sketches, then ""improves to a reasonable level, if still on the more simplistic side"".","They said that the art started as very basic pencil sketches, then ""improves to a sufficient degree, if still on the more simplistic side"".",1,1263
transitional season,turning-point interval,Fall is a transitional season with a lowering of temperature and little rain; spring occurs when the winter rains cause the vegetation to revive.,Fall is a turning-point interval with a lowering of temperature and little rain; spring occurs when the winter rains cause the vegetation to revive.,1,92
complete block,whole chunk,"In 2004, Boag's Brewery was expanded to occupy the complete block enclosed by William, Tamar and Shield Streets and The Esplanade.","In 2004, Boag's Brewery was expanded to occupy the whole chunk enclosed by William, Tamar and Shield Streets and The Esplanade.",0,666
significant pressure,high levels of harassment,"Children experience significant pressure to conform with sexual norms, particularly from their peers, and often lack adequate legal protection from coercive treatment.","Children experience high levels of harassment to conform with sexual norms, particularly from their peers, and often lack adequate legal protection from coercive treatment.",1,280
third incarnation,third embodiment,"According to a Hindu mythological legend, after killing the demon Hiranyaksha, Varaha Swamy (the third incarnation of Lord Vishnu) felt very tired.","According to a Hindu mythological legend, after killing the demon Hiranyaksha, Varaha Swamy (the third embodiment of Lord Vishnu) felt very tired.",1,1113
economic function,profit-making purpose,The implied man in sonnet 7 also has an economic function in his humanity.,The implied man in sonnet 7 also has an profit-making purpose in his humanity.,0,359
local camps,community factions,The Order of the Arrow is a youth-lead honor society of Scouts who provide service to their local camps and communities.,The Order of the Arrow is a youth-lead honor society of Scouts who provide service to their community factions and communities.,1,1128
local circuit,community competitions,"On the local circuit, Faiz emerged champion in 3 events and obtained medals in both the Foil and Sabre U-12 events.","On the community competitions, Faiz emerged champion in 3 events and obtained medals in both the Foil and Sabre U-12 events.",1,1169
prior expression,previous saying,"French Second Empire examples include 45 Elm Street (in a prior expression, now adapted), 105 Elm, 156 Elm and 289 Elm Street.","French Second Empire examples include 45 Elm Street (in a previous saying, now adapted), 105 Elm, 156 Elm and 289 Elm Street.",1,847
small length,modest portion,"Watterson Park is bordered to the east by West Buechel, and Poplar Hills touches a small length of the southwest boundary.","Watterson Park is bordered to the east by West Buechel, and Poplar Hills touches a modest portion of the southwest boundary.",1,1521
feature model,main representation,An analysis of a feature model targets certain properties of the model which are important for marketing strategies or technical decisions.,An analysis of a main representation targets certain properties of the model which are important for marketing strategies or technical decisions.,1,110
